iter	MultiClass
0	1.6225165
1	1.498345604
2	1.400175395
3	1.318118269
4	1.250799831
5	1.194860207
6	1.146681547
7	1.105042881
8	1.0702162
9	1.038746143
10	1.011473366
11	0.9872834927
12	0.9655506127
13	0.9452653044
14	0.9278542982
15	0.9098222608
16	0.8958126691
17	0.8824205258
18	0.8709393983
19	0.8589599447
20	0.8499984876
21	0.8418868617
22	0.8333545878
23	0.8256630783
24	0.8188200564
25	0.8128979726
26	0.8072714991
27	0.802257199
28	0.7978702854
29	0.7935519799
30	0.7895827493
31	0.7852104461
32	0.7795841542
33	0.7764501422
34	0.7734665186
35	0.7708589119
36	0.7679642552
37	0.7654678926
38	0.7628820286
39	0.7606813025
40	0.758638267
41	0.7564026914
42	0.7543322001
43	0.7520369063
44	0.7498777978
45	0.7481717578
46	0.7468363118
47	0.7449914985
48	0.7437665039
49	0.7422542461
50	0.7411538196
51	0.7400944293
52	0.7377038939
53	0.73669504
54	0.735447434
55	0.7343629937
56	0.7333730218
57	0.7324974308
58	0.731432001
59	0.7306333278
60	0.7290177963
61	0.7274794389
62	0.7265361785
63	0.725593901
64	0.724641711
65	0.7238977194
66	0.723239067
67	0.7221990294
68	0.7209591331
69	0.7201845071
70	0.7193406205
71	0.71834733
72	0.7175953201
73	0.716966663
74	0.7161250677
75	0.7151056728
76	0.7144327741
77	0.7131578818
78	0.7126098147
79	0.7120668795
80	0.710570938
81	0.7098641332
82	0.7093910018
83	0.7088767917
84	0.7079300829
85	0.7071752848
86	0.70637318
87	0.7057125505
88	0.7050369915
89	0.7036650428
90	0.7031853975
91	0.7021256775
92	0.7014424088
93	0.7007136731
94	0.7002125134
95	0.6993908073
96	0.698976969
97	0.6984470481
98	0.6979827981
99	0.6974678703
100	0.6970450045
101	0.6966413389
102	0.6960600146
103	0.6956535077
104	0.6952540415
105	0.6950259583
106	0.6945734702
107	0.6937850539
108	0.6933566724
109	0.6928327921
110	0.6915727804
111	0.6910488553
112	0.6906626924
113	0.6903062227
114	0.6895519655
115	0.688928876
116	0.6884346018
117	0.6881091981
118	0.6876351881
119	0.6873580905
120	0.6870560698
121	0.6866225473
122	0.686225817
123	0.6857654409
124	0.6853404283
125	0.6849506775
126	0.6846349798
127	0.6843455236
128	0.6836908345
129	0.6827062543
130	0.6822102142
131	0.6817315157
132	0.6812519402
133	0.6808555419
134	0.6803204958
135	0.6798115953
136	0.6792127731
137	0.6789193397
138	0.6786462942
139	0.6783313152
140	0.6780109415
141	0.6775924276
142	0.6771810563
143	0.6767869703
144	0.6764509465
145	0.6758503779
146	0.6755031977
147	0.675074494
148	0.6747584539
149	0.6743435404
150	0.6740351249
151	0.6737194679
152	0.6734004751
153	0.672970378
154	0.6726696638
155	0.6722908394
156	0.6718225182
157	0.671575178
158	0.6710592446
159	0.6706757132
160	0.6703777311
161	0.6701015025
162	0.6696914661
163	0.6694086811
164	0.6691902047
165	0.6688861151
166	0.6685384811
167	0.668128808
168	0.6678420522
169	0.6675479175
170	0.6671319412
171	0.6668537375
172	0.6665310694
173	0.666283721
174	0.6659155806
175	0.6656051455
176	0.6652344806
177	0.6648783681
178	0.6644393753
179	0.664043487
180	0.6637604568
181	0.6634084803
182	0.6631450389
183	0.6628655395
184	0.6626107926
185	0.6624521773
186	0.6620033034
187	0.6617550534
188	0.6614151728
189	0.6611300883
190	0.6608759449
191	0.6606943641
192	0.6603956504
193	0.660200558
194	0.6599870179
195	0.6597241707
196	0.6594951739
197	0.6591844518
198	0.6589618818
199	0.6586321764
200	0.6584070517
201	0.658055055
202	0.6578244987
203	0.6575376185
204	0.657324573
205	0.6570668307
206	0.6568297542
207	0.6565031369
208	0.6561148133
209	0.6558744351
210	0.6556470706
211	0.6554409042
212	0.6551875898
213	0.6548700306
214	0.6545592321
215	0.6541883121
216	0.653807344
217	0.6535399387
218	0.6532107055
219	0.6529151258
220	0.6525348317
221	0.6522976226
222	0.6519738982
223	0.6516572629
224	0.6514292135
225	0.6512589709
226	0.6509535354
227	0.6507470898
228	0.6504096046
229	0.6500674674
230	0.6497720937
231	0.6495911837
232	0.6494252739
233	0.6492581877
234	0.6489490005
235	0.648650877
236	0.6483978934
237	0.6481656522
238	0.6479652379
239	0.6477414735
240	0.6475197266
241	0.6472932718
242	0.6470213121
243	0.6468246857
244	0.6466206088
245	0.6464177413
246	0.6462102046
247	0.6460142236
248	0.6457735888
249	0.6456158278
250	0.6451094318
251	0.6447663805
252	0.6445510979
253	0.6442258522
254	0.6441278252
255	0.6438884887
256	0.6437552306
257	0.643642657
258	0.6434684533
259	0.6431437632
260	0.6429367776
261	0.6427525038
262	0.6425736183
263	0.6421909199
264	0.6419212992
265	0.6417633212
266	0.6415345015
267	0.6411510193
268	0.64075451
269	0.6405142567
270	0.6402874438
271	0.6401107053
272	0.6395826877
273	0.6394139998
274	0.6392088702
275	0.6387803413
276	0.6385515267
277	0.6383300356
278	0.6381450028
279	0.6378232246
280	0.637598551
281	0.6373746333
282	0.6371781769
283	0.6369337818
284	0.6368303862
285	0.6365317537
286	0.6363202636
287	0.6361495154
288	0.6358289918
289	0.6355983812
290	0.6354478131
291	0.6352395907
292	0.6349987962
293	0.6348215835
294	0.6346548839
295	0.6344302055
296	0.633959827
297	0.6338448791
298	0.6336026686
299	0.6334035005
